id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_compact_method
1,wind,2030,1,17,17,-0.6345875546929215
2,wind,2030,1,18,18,-0.6345875546929215
3,wind,2030,1,19,19,-0.6345875546929215
4,wind,2030,1,20,20,-0.6345875546929215
5,wind,2030,1,21,21,-0.6345875546929215
6,wind,2030,1,22,22,-0.6345875546929215
7,wind,2030,1,23,23,-0.6345875546929215
8,wind,2030,1,24,24,-0.6345875546929215
9,wind,2030,1,25,25,-0.6345875546929215
10,wind,2030,1,26,26,-0.6345875546929215
11,wind,2030,1,27,27,-0.6345875546929215
12,wind,2030,1,28,28,-0.6345875546929215
13,wind,2030,1,29,29,-0.6345875546929215
14,wind,2030,1,30,30,-0.6345875546929215
15,wind,2030,1,31,31,-0.6345875546929215
16,wind,2030,1,32,32,-0.6345875546929215
17,wind,2030,1,33,33,-0.6345875546929215
18,wind,2030,1,34,34,-0.6345875546929215
19,wind,2030,1,35,35,-0.6345875546929215
20,wind,2030,1,36,36,-0.6345875546929215
21,wind,2030,1,37,37,-0.6345875546929215
22,wind,2030,1,38,38,-0.6345875546929215
23,wind,2030,1,39,39,-0.6345875546929215
24,wind,2030,1,40,40,-0.6345875546929215
25,wind,2030,1,41,41,-0.6345875546929215
26,wind,2030,1,42,42,-0.6345875546929215
27,wind,2030,1,43,43,-0.6345875546929215
28,wind,2030,1,44,44,-0.6345875546929215
29,wind,2030,1,45,45,-0.6345875546929215
30,wind,2030,1,46,46,-0.6345875546929215
31,wind,2030,1,47,47,-0.6345875546929215
32,wind,2030,1,48,48,-0.6345875546929215
33,wind,2030,1,49,49,-0.6345875546929215
34,wind,2030,1,50,50,-0.6345875546929215
35,wind,2030,1,51,51,-0.6345875546929215
36,wind,2030,1,52,52,-0.6345875546929215
37,wind,2030,1,53,53,-0.6345875546929215
38,wind,2030,1,54,54,-0.6345875546929215
39,wind,2030,1,55,55,-0.6345875546929215
40,wind,2030,1,56,56,-0.6239769900617249
41,wind,2030,1,57,57,-0.6239769900617249
42,wind,2030,1,58,58,0.0
43,wind,2030,1,59,59,0.0
44,wind,2030,1,60,60,0.0
45,wind,2030,1,61,61,0.0
46,wind,2030,1,62,62,0.0
47,wind,2030,1,63,63,0.0
48,wind,2030,1,64,64,-0.6239769900617249
49,wind,2030,1,65,65,-0.6345875546929215
50,wind,2030,1,66,66,-0.6345875546929215
51,wind,2030,1,67,67,-0.6345875546929215
52,wind,2030,1,68,68,-0.6345875546929215
53,wind,2030,1,69,69,-0.6345875546929215
54,wind,2030,1,70,70,-0.6345875546929215
55,wind,2030,1,71,71,-0.6345875546929215
56,wind,2030,1,72,72,-0.6239769900617249
57,wind,2030,1,73,73,-0.6239769900617249
58,wind,2030,1,74,74,-0.6345875546929215
59,wind,2030,1,75,75,-0.6345875546929215
60,wind,2030,1,76,76,-0.6345875546929215
61,wind,2030,1,77,77,-0.6345875546929215
62,wind,2030,1,78,78,-0.6345875546929215
63,wind,2030,1,79,79,-0.6239769900617249
64,wind,2030,1,80,80,-0.6239769900617249
65,wind,2030,1,81,81,0.0
66,wind,2030,1,82,82,0.0
67,wind,2030,1,83,83,0.0
68,wind,2030,1,84,84,0.0
69,wind,2030,1,85,85,0.0
70,wind,2030,1,86,86,0.0
71,wind,2030,1,87,87,-0.6239769900617249
72,wind,2030,1,88,88,-0.6239769900617249
73,wind,2030,1,89,89,-0.6345875546929215
74,wind,2030,1,90,90,-0.6345875546929215
75,wind,2030,1,91,91,-0.6345875546929215
76,wind,2030,1,92,92,-0.6345875546929215
77,wind,2030,1,93,93,-0.6345875546929215
78,wind,2030,1,94,94,-0.6345875546929215
79,wind,2030,1,95,95,-0.6345875546929215
80,wind,2030,1,96,96,-0.6345875546929215
81,wind,2030,1,97,97,-0.6345875546929215
82,wind,2030,1,98,98,-0.6345875546929215
83,wind,2030,1,99,99,-0.6345875546929215
84,wind,2030,1,100,100,-0.6345875546929215
85,wind,2030,1,101,101,-0.6345875546929215
86,wind,2030,1,102,102,-0.6345875546929215
87,wind,2030,1,103,103,-0.6345875546929215
88,wind,2030,1,104,104,-0.6345875546929215
89,wind,2030,1,105,105,-0.6345875546929215
90,wind,2030,1,106,106,-0.6345875546929215
91,wind,2030,1,107,107,-0.6345875546929215
92,wind,2030,1,108,108,-0.6345875546929215
93,wind,2030,1,109,109,-0.6345875546929215
94,wind,2030,1,110,110,-0.6345875546929215
95,wind,2030,1,111,111,-0.6345875546929215
96,wind,2030,1,112,112,-0.6345875546929215
97,wind,2030,1,113,113,-0.6345875546929215
98,wind,2030,1,114,114,-0.6345875546929215
99,wind,2030,1,115,115,-0.6345875546929215
100,wind,2030,1,116,116,-0.6345875546929215
101,wind,2030,1,117,117,-0.7603227455726012
102,wind,2030,1,118,118,-0.7603227455726012
103,wind,2030,1,119,119,-0.6345875546929215
104,wind,2030,1,120,120,-0.6345875546929215
105,wind,2030,1,121,121,-0.6345875546929215
106,wind,2030,1,122,122,-0.6345875546929215
107,wind,2030,1,123,123,-0.6345875546929215
108,wind,2030,1,124,124,-0.6345875546929215
